id,url,q3,perceived,primary_topic,secondary_topic,democrat_vote,republican_vote,Bias
52,http://firstread.nbcnews.com/_news/2013/05/20/18374920-first-thoughts-scandal-or-bureaucratic-incompetency,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatPositive,2
53,http://www.usatoday.com/story/news/politics/2013/06/21/mcconnell-free-speech-obama-irs-scandal/2445967/,News,0,Democrat Scandals,Civil Rights,Negative,Positive,4
54,http://news.yahoo.com/snowden-mass-surveillance-making-us-less-safe-124458045.html,News,0,Democrat Scandals,Civil Rights,Neutral,Neutral,0
55,http://www.bbc.co.uk/news/world-us-canada-22049070,News,0,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
56,http://www.washingtonpost.com/politics/sarah-palin-lampoons-dc-at-faith-and-freedom-coalition-conference/2013/06/15/0e0bcd7a-d5ee-11e2-8cbe-1bcbee06f8f8_story.html,Opinion,0,Democrat Scandals,Civil Rights,Negative,Neutral,2
57,http://www.bbc.co.uk/news/world-us-canada-25457979,News,0,Drugs,Civil Rights,Positive,Neutral,-2
58,"http://www.chicagotribune.com/news/local/breaking/chi-durbin-kirk-differ-about-marijuana-20131107,0,3938849.story",News,1,Drugs,Civil Rights,Neutral,Neutral,0
59,"http://www.chicagotribune.com/news/politics/clout/chi-illinois-senate-votes-medical-marijuana-20130517,0,5344892.story",News,1,Drugs,Civil Rights,Neutral,Neutral,0
60,http://www.bbc.co.uk/news/world-us-canada-21674166,News,0,Drugs,Civil Rights,SomewhatPositive,Neutral,-1
61,"http://www.latimes.com/news/local/la-court-california-cities-can-ban-pot-shops-20130506,0,81549.story",News,0,Drugs,Civil Rights,Neutral,Neutral,0
62,http://www.washingtonpost.com/opinions/dana-milbank-rep-steve-kings-rotten-tomatoes/2013/07/24/adace7d8-f4b1-11e2-aa2e-4088616498b4_story.html,Opinion,1,Drugs,Civil Rights,Neutral,Negative,-2
63,"http://www.chicagotribune.com/business/ct-biz-1027-workplace-marijuana--20131027,0,3038787.story",News,1,Drugs,Civil Rights,Neutral,Neutral,0
64,http://www.nytimes.com/2013/12/20/us/obama-commuting-sentences-in-crack-cocaine-cases.html,News,0,Drugs,Civil Rights,SomewhatPositive,SomewhatNegative,-2
65,"http://www.chicagotribune.com/news/local/breaking/chi-obama-orders-release-of-man-jailed-for-life-for-nonviolent-crime-at-17-20131219,0,1910583.story",News,1,Drugs,Civil Rights,SomewhatPositive,Neutral,-1
66,http://www.nytimes.com/2013/08/02/opinion/sentencing-reform-starts-to-pay-off.html,News,1,Drugs,Civil Rights,Neutral,Neutral,0
67,http://www.nytimes.com/2013/12/20/us/obama-commuting-sentences-in-crack-cocaine-cases.html,News,1,Drugs,Civil Rights,Neutral,Neutral,0
68,http://www.reuters.com/article/2013/07/09/us-usa-marijuana-fox-idUSBRE96800N20130709,News,0,Drugs,Civil Rights,Neutral,Neutral,0
69,http://www.reuters.com/article/2013/01/05/us-usa-kennedy-marijuana-idUSBRE9040AF20130105,News,0,Drugs,Civil Rights,SomewhatNegative,Positive,3
70,"http://www.latimes.com/nation/la-na-yakama-pot-20131222,0,2255589.story",News,0,Drugs,Civil Rights,Neutral,Neutral,0
71,http://www.bbc.co.uk/news/world-latin-america-25315215,Opinion,0,Drugs,Civil Rights,Neutral,Neutral,0
72,http://www.breitbart.com/Big-Government/2013/04/19/Schumer-urges-Senators-media-not-to-conflate-Boston-bombings-with-immigration-bill-then-does-it-himself,Opinion,0,Economy,Civil Rights,SomewhatNegative,Neutral,1
73,http://www.usatoday.com/story/news/nation/2013/09/23/stateline-food-stamps/2854121/,News,0,Economy,Civil Rights,SomewhatPositive,Positive,1
74,http://news.yahoo.com/stores-free-rein-recoup-shoplifting-170838818.html,News,0,Economy,Civil Rights,Neutral,Neutral,0
75,http://www.nytimes.com/2013/06/20/opinion/blow-a-nation-divided-against-itself.html,Opinion,0,Economy,Civil Rights,Neutral,SomewhatNegative,-1
76,http://worldnews.nbcnews.com/_news/2013/11/05/21322048-anonymous-million-mask-march-protests-corruption-corporations,News,0,Economy,Civil Rights,Neutral,Neutral,0
77,"http://www.latimes.com/nation/la-na-california-food-stamps-20130818,0,3614987,full.story",News,0,Economy,Civil Rights,Neutral,SomewhatNegative,-1
78,"http://www.chicagotribune.com/news/politics/sns-rt-us-usa-agriculture-food-20130919,0,5677637.story",News,1,Economy,Civil Rights,Neutral,SomewhatNegative,-1
79,http://online.wsj.com/article/SB10001424127887324715704578482823301630836.html,Opinion,1,Economy,Civil Rights,SomewhatPositive,SomewhatNegative,-2
80,http://online.wsj.com/article/SB10001424127887323495604578539283518855020.html,News,1,Economy,Civil Rights,Neutral,Neutral,0
81,http://www.washingtonpost.com/local/dc-politics/dc-council-approves-living-wage-bill-over-wal-mart-ultimatum/2013/07/10/724aab6e-e96f-11e2-a301-ea5a8116d211_story.html,News,1,Economy,Civil Rights,Neutral,Neutral,0
82,http://www.usatoday.com/story/opinion/2013/09/16/syria-irs-lerner-column/2816277/,Opinion,0,Economy,Civil Rights,SomewhatNegative,SomewhatPositive,2
83,"http://www.chicagotribune.com/news/local/ct-met-illinois-pension-reform-0628-20130628,0,7349187.story",News,1,Economy,Civil Rights,SomewhatNegative,Neutral,1
84,"http://www.latimes.com/business/la-fi-shutdown-worker-impact-20131012,0,699148.story",Opinion,1,Economy,Civil Rights,Neutral,Neutral,0
85,http://blogs.reuters.com/great-debate/2013/02/14/why-do-unions-seek-exemption-from-anti-stalking-laws/,Opinion,0,Economy,Civil Rights,Neutral,Neutral,0
86,http://www.usatoday.com/story/money/business/2013/12/01/emergency-unemployment-compensation-euc-deadline/3773049/,News,0,Economy,Civil Rights,SomewhatNegative,SomewhatNegative,0
87,http://www.reuters.com/article/2013/03/01/us-usa-detroit-emergency-idUSBRE9200TI20130301,Opinion,0,Economy,Civil Rights,SomewhatPositive,SomewhatNegative,-2
88,http://money.cnn.com/2013/02/28/news/economy/spending-cuts/index.html,News,0,Economy,Civil Rights,SomewhatNegative,SomewhatNegative,0
89,http://www.reuters.com/article/2013/06/04/usa-agriculture-foodaid-idUSL1N0EF1TG20130604,News,0,Economy,Civil Rights,SomewhatPositive,Neutral,-1
90,http://www.dailykos.com/story/2013/10/26/1250736/-Bill-Maher-Tired-Of-Helping-Companies-Pay-Workers-Hike-Minimum-Wage-VIDEO,Opinion,0,Economy,Civil Rights,Positive,Negative,-4
91,http://www.reuters.com/article/2013/07/27/us-usa-detroit-idUSBRE96Q0A220130727,News,0,Economy,Civil Rights,Neutral,Neutral,0
92,http://www.washingtonpost.com/blogs/federal-eye/wp/2013/03/19/pay-raise-on-way-out-furloughs-on-way-in/,News,0,Economy,Civil Rights,SomewhatNegative,Neutral,1
93,http://video.foxnews.com/v/2513429983001/lawmaker-to-irs-chief-this-report-is-a-sham/,News,1,Economy,Civil Rights,Neutral,Neutral,0
94,http://www.foxnews.com/opinion/2013/02/13/inside-obama-mind-at-his-state-union-address/,Opinion,1,Economy,Civil Rights,Neutral,Neutral,0
95,http://www.dailykos.com/story/2013/06/16/1216376/-About-Jan-Brewer,Opinion,1,Economy,Civil Rights,Neutral,Neutral,0
96,http://www.dailykos.com/story/2013/06/18/1216975/-NYC-Council-Race-Yetta-Kurland-vs-Derivatives-Man,News,1,Economy,Civil Rights,SomewhatPositive,Neutral,-1
97,http://www.breitbart.com/Big-Government/2013/10/26/ObamaCare-your-tax-dollars-fund-abortion,News,1,Economy,Civil Rights,SomewhatPositive,Neutral,-1
98,"http://www.chicagotribune.com/news/local/ct-met-illinois-gambling-expansion-0502-20130502,0,1776207.story",News,1,Economy,Civil Rights,Neutral,Neutral,0
99,http://www.huffingtonpost.com/2013/12/21/obama-2013_n_4482381.html,Opinion,1,Economy,Civil Rights,SomewhatNegative,SomewhatPositive,2
100,http://news.yahoo.com/fast-food-strikes-return-amid-push-wage-hikes-114457533--finance.html,News,1,Economy,Civil Rights,Neutral,Neutral,0
101,http://www.usatoday.com/story/theoval/2013/12/13/obama-congress-mayors-unemployment-insurance-budget-deal/4014659/,News,1,Economy,Civil Rights,Neutral,Neutral,0
102,http://www.foxnews.com/politics/2013/02/18/come-to-us-live-on-dole-senator-says-immigration-stats-show-welfare-rules-not/,News,1,Economy,Civil Rights,SomewhatNegative,Neutral,1
103,http://www.reuters.com/article/2013/10/30/us-usa-nutrition-food-stamps-idUSBRE99T0ZI20131030,News,1,Economy,Civil Rights,SomewhatPositive,SomewhatNegative,-2
104,http://blogs.wsj.com/economics/2013/03/08/concerns-within-lower-unemployment-rate/,News,1,Economy,Civil Rights,SomewhatPositive,SomewhatNegative,-2
105,"http://www.latimes.com/business/la-fi-unemployment-benefits-cutoff-20131225,0,2875704.story",News,1,Economy,Civil Rights,Neutral,Neutral,0
106,http://www.cnn.com/2013/04/25/opinion/brazile-katrina-bush/index.html,News,1,Economy,Civil Rights,Positive,Positive,0
107,http://www.cnn.com/2013/11/03/world/europe/edward-snowden-manifesto/index.html,News,1,Economy,Civil Rights,Neutral,Neutral,0
108,http://online.wsj.com/article/SB10001424127887323798104578452451842076428.html,News,1,Economy,Civil Rights,Neutral,SomewhatPositive,1
109,http://news.yahoo.com/audit-usda-paid-millions-in-federal-aid-to-dead-farmers-172308601.html,News,1,Economy,Civil Rights,Neutral,Neutral,0
110,http://www.huffingtonpost.com/robert-reich/american-inequality_b_3745493.html,Opinion,0,Economy,Civil Rights,SomewhatNegative,SomewhatNegative,0
111,http://www.dailykos.com/story/2013/06/05/1214080/-All-that-is-wrong-with-the-economy-in-one-graph,News,1,Economy,Civil Rights,Neutral,SomewhatNegative,-1
112,http://www.usatoday.com/story/news/nation/2013/05/13/monsanto-patent-grain-biotechnology-soybeans-supreme-court/2116333/,News,0,Economy,Civil Rights,Neutral,Neutral,0
113,http://www.washingtonpost.com/blogs/wonkblog/wp/2013/09/06/the-five-worst-things-about-this-crummy-jobs-report/,Opinion,1,Economy,Civil Rights,Negative,SomewhatNegative,1
114,http://www.dailykos.com/story/2013/10/26/1250736/-Bill-Maher-Tired-Of-Helping-Companies-Pay-Workers-Hike-Minimum-Wage-VIDEO,other,1,Economy,Civil Rights,Neutral,Neutral,0
115,http://www.nytimes.com/2013/07/15/opinion/krugman-hunger-games-usa.html,News,1,Economy,Civil Rights,SomewhatNegative,SomewhatNegative,0
116,http://www.breitbart.com/Big-Government/2013/07/14/March-For-Jobs-to-hear-from-American-people-over-special-interest-groups-on-amnesty-with-special-Breitbart-News-broadcast,Opinion,1,Economy,Civil Rights,Neutral,SomewhatPositive,1
117,http://www.foxnews.com/politics/2013/08/03/new-laws-make-criminal-pasts-off-limits-in-california-city/,News,1,Economy,Civil Rights,SomewhatPositive,Neutral,-1
118,http://blogs.wsj.com/developments/2013/07/26/between-the-lines-obamas-latest-housing-pitches/,Opinion,1,Economy,Civil Rights,SomewhatNegative,SomewhatPositive,2
119,http://www.dailykos.com/story/2013/01/29/1182999/-Sandy-relief-vote-shows-vast-majority-of-GOP-congress-members-hate-nbsp-America,Opinion,1,Economy,Civil Rights,Neutral,SomewhatNegative,-1
120,"http://www.chicagotribune.com/news/politics/clout/chi-emanuel-speed-cameras-generate-more-than-2700-tickets-so-far-20131119,0,1051398.story",News,1,Economy,Civil Rights,SomewhatPositive,Neutral,-1
121,"http://www.chicagotribune.com/news/local/ct-met-illinois-sequestration-effects-20130227,0,3867862.story",News,0,Economy,Civil Rights,SomewhatPositive,Neutral,-1
122,http://www.dailykos.com/story/2013/11/24/1256843/--You-don-t-dream-when-you-ve-got-food-stamps-Really,Opinion,0,Economy,Civil Rights,SomewhatPositive,SomewhatPositive,0
123,http://www.washingtonpost.com/blogs/post-politics/wp/2013/04/16/inside-the-immigration-bill-e-verify-expansion-draws-fire-from-civil-libertarians/,News,0,Economy,Civil Rights,Neutral,SomewhatNegative,-1
124,http://www.nytimes.com/2013/07/17/business/cordray-confirmed-as-head-of-financial-watchdog-after-long-wait.html,News,0,Economy,Civil Rights,Neutral,SomewhatNegative,-1
125,http://www.washingtonpost.com/politics/as-shutdown-and-default-loom-crisis-mode-becomes-washingtons-new-normal/2013/09/21/dd06feae-21fe-11e3-966c-9c4293c47ebe_story.html,other,0,Economy,Civil Rights,Neutral,Neutral,0
126,http://investigations.nbcnews.com/_news/2013/06/25/19062348-disabled-workers-paid-just-pennies-an-hour-and-its-legal,Opinion,0,Economy,Civil Rights,Neutral,Neutral,0
127,http://politicalticker.blogs.cnn.com/2013/02/24/with-deadline-looming-white-house-details-cuts/,News,0,Economy,Civil Rights,SomewhatNegative,Neutral,1
128,http://www.reuters.com/article/2013/01/11/us-usa-louisiana-taxes-idUSBRE90A02K20130111,Opinion,0,Economy,Civil Rights,Neutral,Neutral,0
129,http://www.foxnews.com/politics/2013/03/31/labor-big-business-agree-on-key-part-immigration-reform-but-final-deal-still/,News,0,Economy,Civil Rights,SomewhatPositive,SomewhatPositive,0
130,http://nbcpolitics.nbcnews.com/_news/2013/12/04/21756918-obama-income-gap-threatens-our-way-of-life,News,0,Economy,Civil Rights,SomewhatPositive,SomewhatNegative,-2
131,http://www.huffingtonpost.com/2013/04/18/ohio-sex-education_n_3109223.html,News,0,Education,Civil Rights,Neutral,Neutral,0
132,http://www.nytimes.com/2013/01/11/arts/design/the-civil-war-in-america-at-library-of-congress.html,News,0,Education,Civil Rights,Neutral,Neutral,0
133,http://articles.latimes.com/2013/mar/12/nation/la-na-nn-ff-ethnic-studies-arizona-20130312,Opinion,1,Education,Civil Rights,SomewhatPositive,SomewhatNegative,-2
134,http://blogs.wsj.com/law/2013/08/08/law-school-claims-bar-passage-rate-is-meaningless/,other,0,Education,Civil Rights,Neutral,Neutral,0
135,"http://www.chicagotribune.com/sports/sns-rt-us-usa-rutgers-coachbre93200v-20130402,0,218403.story",News,0,Education,Civil Rights,Neutral,Neutral,0
136,http://www.huffingtonpost.com/2013/03/11/arizona-mexican-american-studies-curriculum-constitutional_n_2851034.html,News,0,Education,Civil Rights,Neutral,Neutral,0
137,http://online.wsj.com/article/SB10001424052702304520704579125003614256882.html,News,0,Education,Civil Rights,Neutral,Neutral,0
138,http://articles.latimes.com/2013/mar/12/nation/la-na-nn-ff-ethnic-studies-arizona-20130312,News,0,Education,Civil Rights,Neutral,Neutral,0
139,http://www.breitbart.com/Big-Government/2013/06/29/DOJ-Defunds-Youth-Programs-that-Reference-God,News,1,Education,Civil Rights,Negative,SomewhatPositive,3
140,http://www.huffingtonpost.com/2013/03/11/arizona-mexican-american-studies-curriculum-constitutional_n_2851034.html,News,1,Education,Civil Rights,Neutral,Neutral,0
141,http://www.foxnews.com/us/2013/01/16/california-teacher-who-appeared-in-porn-loses-appeal-to-get-job-back/,other,1,Education,Civil Rights,Neutral,Neutral,0
142,http://www.breitbart.com/Big-Government/2013/05/19/Obama-Tells-Morehouse-Graduates-of-Special-Obligation-of-Black-Men,Opinion,0,Education,Civil Rights,SomewhatPositive,Neutral,-1
143,http://online.wsj.com/article/SB10001424052970204573704577189520334363222.html,Opinion,1,Elections,Civil Rights,Negative,SomewhatPositive,3
144,http://www.breitbart.com/Big-Government/2013/10/28/Soros-adviser-Obama-donors-and-leftwing-groups-gather-downtown-DC-to-develop-anti-Republican-amnesty-with-Hollywood-support,News,1,Elections,Civil Rights,SomewhatNegative,Neutral,1
145,"http://www.latimes.com/news/local/la-me-mayor-endorse-20130329,0,3188279.story",News,0,Elections,Civil Rights,Positive,Neutral,-2
146,http://www.nytimes.com/2013/09/12/nyregion/in-quinns-loss-questions-about-role-of-gender-and-sexuality.html,Opinion,0,Elections,Civil Rights,SomewhatNegative,Neutral,1
147,"http://www.latimes.com/news/nation/nationnow/la-na-nn-arizona-officials-to-continue-requiring-citizenship-on-state-voter-registration-forms-20130617,0,4840300.story",News,0,Elections,Civil Rights,SomewhatPositive,SomewhatNegative,-2
148,http://blogs.wsj.com/metropolis/2013/03/06/christie-goes-into-campaign-mode/,Opinion,0,Elections,Civil Rights,Neutral,SomewhatPositive,1
149,http://www.bbc.co.uk/news/entertainment-arts-24294901,News,0,Elections,Civil Rights,SomewhatNegative,SomewhatPositive,2
150,http://www.dailykos.com/story/2013/01/26/1182240/-an-Obama-voter-as-3-5-of-a-person,Opinion,0,Elections,Civil Rights,SomewhatPositive,SomewhatNegative,-2
151,http://latino.foxnews.com/latino/politics/2013/05/02/does-tx-sen-ted-cruz-qualify-for-president-though-was-born-in-canada/,Opinion,0,Elections,Civil Rights,SomewhatPositive,SomewhatNegative,-2
152,http://www.dailykos.com/story/2013/08/07/1229633/-Racists-Go-Wild-Outside-Obama-Speech-in-Arizona,Opinion,1,Elections,Civil Rights,SomewhatPositive,Negative,-3
153,http://opinionator.blogs.nytimes.com/2013/02/06/the-persistence-of-racial-resentment/,News,1,Elections,Civil Rights,SomewhatPositive,SomewhatNegative,-2
154,http://www.washingtonpost.com/politics/after-the-first-black-president-who-will-be-second/2013/01/20/5dd3fa14-61f2-11e2-b05a-605528f6b712_story.html,Opinion,0,Elections,Civil Rights,Neutral,Neutral,0
155,http://www.huffingtonpost.com/2013/07/09/ed-koch-fbi-documents-released_n_3569293.html,News,1,Elections,Civil Rights,Neutral,Neutral,0
156,http://www.dailykos.com/story/2013/01/26/1182240/-an-Obama-voter-as-3-5-of-a-person,News,1,Elections,Civil Rights,Neutral,Negative,-2
157,http://www.nytimes.com/2013/12/01/opinion/sunday/voter-id-gets-another-day-in-court.html,News,0,Elections,Civil Rights,Neutral,Neutral,0
158,http://www.dailykos.com/story/2013/04/22/1203898/-The-Siegelman-Case-and-why-it-should-trouble-you,Opinion,0,Elections,Civil Rights,SomewhatPositive,Negative,-3
159,http://www.dailykos.com/story/2013/08/13/1230932/-Texas-Defends-Voting-Laws-We-Don-t-Want-Democrats-To-Vote,Opinion,1,Elections,Civil Rights,Neutral,Negative,-2
160,http://www.dailykos.com/story/2013/06/27/1219322/-Beware-Texas-Democrats-Wisconsin-was-there-once-too,Opinion,0,Elections,Civil Rights,Positive,Negative,-4
161,http://www.nytimes.com/2013/03/08/world/europe/women-finding-their-way-in-german-politics.html,Opinion,0,Elections,Civil Rights,Positive,SomewhatNegative,-3
162,"http://www.latimes.com/news/local/la-me-mayor-analysis-20130310,0,1436082.story",News,1,Elections,Civil Rights,SomewhatPositive,SomewhatPositive,0
163,"http://www.latimes.com/news/local/la-me-0726-antelope-race-20130726,0,1552113.story",News,0,Elections,Civil Rights,Neutral,Neutral,0
164,http://firstread.nbcnews.com/_news/2013/02/20/17030311-first-thoughts-what-happens-if-the-sequester-sky-doesnt-fall,News,0,Elections,Civil Rights,Neutral,SomewhatNegative,-1
165,http://news.yahoo.com/ted-cruz-natural-born-citizen-eligible-serve-president-100207138--politics.html,News,1,Elections,Civil Rights,Neutral,Neutral,0
166,http://firstread.nbcnews.com/_news/2013/11/12/21421163-first-thoughts-a-reality-check-on-2016,Opinion,0,Elections,Civil Rights,SomewhatPositive,Neutral,-1
